,PKB69,PKB206,PKB51,PKB106,PKB48,PKB98,PKB14,PKB130,PKB233,PKB42,PKB6,PKB4,PKB179,PKB46,PKB161,PKB20,PKB105,PKB70,PKB24,PKB91,PKB68,PKB159,PKB7,PKB77,PKB10,PKB8,PKB240,PKB103,PKB89,PKB137,PKB52,PKB248,PKB49,PKB32,PKB241,PKB128,PKB22,PKB50,PKB140,PKB43,PKB67,PKB79,PKB247,PKB16,PKB180,PKB177,PKB172,PKB136,PKB207,PKB119,PKB218,PKB38,PKB104,PKB15,PKB11,PKB171,PKB162,PKB242,PKB120,PKB158,PKB101,PKB142,PKB102,PKB100,PKB44,PKB135,PKB191,PKB13,PKB9,PKB160,PKB90,PKB236
PKB6,30.0,23.0,29.0,28.0,31.0,33.0,35.0,27.0,28.0,22.0,51.0,28.0,32.0,20.0,16.0,26.0,22.0,30.0,26.0,20.0,32.0,18.0,37.0,29.0,27.0,33.0,22.0,18.0,22.0,36.0,26.0,33.0,20.0,33.0,20.0,30.0,26.0,32.0,28.0,22.0,19.0,31.0,17.0,38.0,33.0,32.0,14.0,35.0,26.0,17.0,32.0,28.0,17.0,34.0,35.0,33.0,21.0,22.0,19.0,17.0,19.0,29.0,17.0,21.0,19.0,35.0,35.0,44.0,51.0,16.0,18.0,32.0
PKB4,36.0,30.0,35.0,38.0,37.0,35.0,26.0,23.0,38.0,29.0,28.0,61.0,37.0,31.0,16.0,22.0,21.0,34.0,24.0,19.0,34.0,20.0,24.0,36.0,23.0,24.0,30.0,16.0,21.0,40.0,32.0,33.0,28.0,25.0,22.0,38.0,24.0,35.0,33.0,28.0,24.0,37.0,18.0,26.0,35.0,38.0,17.0,42.0,32.0,14.0,40.0,23.0,17.0,25.0,24.0,39.0,23.0,24.0,19.0,21.0,19.0,35.0,18.0,22.0,31.0,41.0,39.0,27.0,28.0,19.0,19.0,38.0
PKB179,47.0,33.0,40.0,47.0,44.0,43.0,31.0,32.0,50.0,29.0,32.0,37.0,95.0,30.0,21.0,27.0,27.0,48.0,29.0,28.0,51.0,22.0,32.0,52.0,33.0,32.0,31.0,22.0,28.0,67.0,42.0,49.0,27.0,32.0,29.0,48.0,30.0,50.0,51.0,30.0,27.0,43.0,20.0,32.0,60.0,50.0,27.0,69.0,36.0,22.0,51.0,32.0,23.0,34.0,32.0,56.0,31.0,28.0,32.0,23.0,23.0,52.0,20.0,31.0,30.0,64.0,64.0,33.0,32.0,24.0,22.0,61.0
PKB46,30.0,23.0,27.0,30.0,29.0,29.0,20.0,22.0,34.0,26.0,20.0,31.0,30.0,48.0,13.0,20.0,16.0,30.0,21.0,18.0,25.0,20.0,22.0,28.0,21.0,24.0,31.0,17.0,18.0,33.0,31.0,25.0,25.0,19.0,19.0,28.0,23.0,26.0,29.0,30.0,20.0,30.0,16.0,22.0,31.0,30.0,11.0,34.0,25.0,16.0,31.0,19.0,14.0,24.0,20.0,32.0,17.0,19.0,14.0,13.0,16.0,31.0,11.0,21.0,39.0,31.0,30.0,19.0,20.0,13.0,15.0,30.0
PKB161,20.0,14.0,18.0,19.0,17.0,14.0,16.0,16.0,17.0,15.0,16.0,16.0,21.0,13.0,33.0,12.0,16.0,19.0,15.0,17.0,22.0,16.0,16.0,20.0,16.0,17.0,12.0,15.0,16.0,23.0,19.0,20.0,12.0,15.0,13.0,20.0,13.0,18.0,22.0,16.0,16.0,18.0,9.0,15.0,19.0,19.0,18.0,23.0,14.0,18.0,19.0,16.0,17.0,14.0,17.0,18.0,18.0,15.0,19.0,19.0,11.0,21.0,13.0,17.0,10.0,21.0,23.0,18.0,16.0,18.0,18.0,22.0
PKB20,26.0,21.0,25.0,29.0,29.0,29.0,25.0,23.0,28.0,22.0,26.0,22.0,27.0,20.0,12.0,45.0,21.0,25.0,42.0,19.0,25.0,17.0,28.0,24.0,29.0,27.0,20.0,15.0,18.0,31.0,25.0,25.0,20.0,25.0,19.0,26.0,33.0,26.0,24.0,21.0,15.0,31.0,19.0,24.0,27.0,28.0,14.0,32.0,24.0,14.0,27.0,28.0,13.0,27.0,23.0,28.0,17.0,24.0,14.0,15.0,18.0,25.0,12.0,19.0,19.0,30.0,27.0,25.0,26.0,12.0,14.0,27.0
PKB105,26.0,17.0,25.0,28.0,25.0,24.0,20.0,20.0,25.0,18.0,22.0,21.0,27.0,16.0,16.0,21.0,41.0,27.0,20.0,29.0,29.0,16.0,20.0,25.0,22.0,19.0,17.0,16.0,22.0,29.0,25.0,26.0,17.0,20.0,24.0,27.0,20.0,23.0,25.0,19.0,21.0,25.0,16.0,20.0,24.0,22.0,19.0,30.0,19.0,17.0,26.0,20.0,20.0,19.0,20.0,28.0,23.0,23.0,25.0,17.0,16.0,26.0,15.0,22.0,16.0,28.0,29.0,23.0,22.0,14.0,17.0,28.0
PKB70,42.0,29.0,39.0,41.0,43.0,37.0,27.0,29.0,43.0,29.0,30.0,34.0,48.0,30.0,19.0,25.0,27.0,72.0,26.0,27.0,47.0,20.0,29.0,43.0,29.0,29.0,29.0,20.0,27.0,52.0,42.0,43.0,25.0,26.0,28.0,43.0,27.0,45.0,42.0,30.0,27.0,40.0,17.0,31.0,45.0,44.0,25.0,52.0,33.0,22.0,44.0,28.0,21.0,28.0,30.0,50.0,29.0,26.0,28.0,21.0,24.0,46.0,19.0,26.0,28.0,50.0,50.0,31.0,30.0,25.0,22.0,50.0
PKB24,27.0,22.0,25.0,28.0,29.0,29.0,26.0,24.0,28.0,23.0,26.0,24.0,29.0,21.0,15.0,42.0,20.0,26.0,46.0,19.0,26.0,18.0,31.0,26.0,30.0,28.0,21.0,15.0,18.0,32.0,26.0,26.0,20.0,26.0,18.0,27.0,33.0,25.0,26.0,23.0,15.0,31.0,19.0,26.0,28.0,30.0,15.0,32.0,24.0,15.0,27.0,27.0,14.0,27.0,25.0,29.0,18.0,25.0,16.0,17.0,18.0,26.0,13.0,20.0,20.0,32.0,28.0,27.0,26.0,13.0,16.0,29.0
PKB91,26.0,18.0,24.0,26.0,24.0,22.0,20.0,21.0,27.0,20.0,20.0,19.0,28.0,18.0,17.0,19.0,29.0,27.0,19.0,42.0,27.0,19.0,21.0,25.0,22.0,20.0,18.0,17.0,23.0,30.0,27.0,27.0,17.0,19.0,20.0,26.0,22.0,23.0,28.0,22.0,19.0,21.0,14.0,20.0,25.0,23.0,19.0,29.0,19.0,20.0,26.0,21.0,20.0,20.0,21.0,26.0,21.0,18.0,25.0,17.0,20.0,27.0,16.0,22.0,17.0,28.0,29.0,21.0,20.0,17.0,17.0,28.0
PKB68,42.0,31.0,36.0,42.0,40.0,39.0,30.0,31.0,45.0,27.0,32.0,34.0,51.0,25.0,22.0,25.0,29.0,47.0,26.0,27.0,85.0,20.0,32.0,47.0,29.0,31.0,28.0,19.0,26.0,57.0,40.0,48.0,23.0,33.0,27.0,44.0,27.0,45.0,47.0,27.0,25.0,40.0,18.0,31.0,46.0,44.0,30.0,60.0,33.0,21.0,45.0,32.0,24.0,30.0,33.0,52.0,29.0,26.0,30.0,24.0,20.0,49.0,21.0,27.0,24.0,58.0,58.0,33.0,32.0,27.0,22.0,57.0
PKB159,22.0,18.0,20.0,20.0,21.0,21.0,19.0,18.0,22.0,18.0,18.0,20.0,22.0,20.0,16.0,17.0,16.0,20.0,18.0,19.0,20.0,33.0,18.0,21.0,18.0,19.0,20.0,16.0,16.0,24.0,20.0,18.0,18.0,18.0,17.0,21.0,20.0,18.0,20.0,19.0,15.0,20.0,15.0,18.0,21.0,20.0,12.0,22.0,20.0,14.0,23.0,19.0,13.0,19.0,17.0,21.0,16.0,18.0,15.0,15.0,15.0,22.0,11.0,16.0,18.0,24.0,20.0,18.0,18.0,14.0,16.0,21.0
PKB7,31.0,24.0,27.0,30.0,31.0,33.0,30.0,27.0,31.0,24.0,37.0,24.0,32.0,22.0,16.0,28.0,20.0,29.0,31.0,21.0,32.0,18.0,51.0,29.0,32.0,30.0,24.0,18.0,20.0,36.0,28.0,29.0,21.0,29.0,18.0,29.0,28.0,31.0,29.0,24.0,17.0,32.0,17.0,37.0,31.0,36.0,14.0,34.0,26.0,18.0,31.0,31.0,16.0,33.0,38.0,33.0,19.0,21.0,18.0,15.0,19.0,30.0,14.0,21.0,22.0,35.0,34.0,39.0,37.0,15.0,18.0,33.0
PKB77,47.0,31.0,37.0,42.0,40.0,34.0,27.0,28.0,42.0,29.0,29.0,36.0,52.0,28.0,20.0,24.0,25.0,43.0,26.0,25.0,47.0,21.0,29.0,85.0,28.0,27.0,28.0,20.0,29.0,59.0,41.0,44.0,27.0,22.0,31.0,44.0,27.0,44.0,46.0,30.0,28.0,41.0,17.0,28.0,44.0,45.0,27.0,62.0,31.0,20.0,44.0,27.0,21.0,26.0,28.0,51.0,31.0,27.0,30.0,24.0,23.0,51.0,20.0,27.0,26.0,60.0,57.0,30.0,29.0,27.0,21.0,56.0
PKB10,27.0,20.0,25.0,28.0,29.0,28.0,28.0,27.0,31.0,23.0,27.0,23.0,33.0,21.0,16.0,29.0,22.0,29.0,30.0,22.0,29.0,18.0,32.0,28.0,49.0,37.0,22.0,16.0,22.0,35.0,25.0,28.0,19.0,32.0,19.0,29.0,29.0,30.0,30.0,24.0,18.0,30.0,17.0,30.0,31.0,29.0,19.0,34.0,23.0,16.0,30.0,32.0,17.0,31.0,28.0,32.0,20.0,25.0,19.0,19.0,20.0,28.0,16.0,23.0,20.0,34.0,31.0,28.0,27.0,16.0,17.0,32.0
PKB8,28.0,22.0,27.0,27.0,30.0,29.0,35.0,25.0,29.0,26.0,33.0,24.0,32.0,24.0,17.0,27.0,19.0,29.0,28.0,20.0,31.0,19.0,30.0,27.0,37.0,49.0,23.0,18.0,19.0,34.0,27.0,28.0,20.0,33.0,19.0,27.0,29.0,29.0,30.0,26.0,17.0,31.0,18.0,32.0,30.0,31.0,17.0,33.0,25.0,17.0,29.0,30.0,17.0,41.0,31.0,31.0,21.0,24.0,19.0,18.0,19.0,29.0,16.0,22.0,21.0,33.0,33.0,30.0,33.0,17.0,18.0,30.0
PKB240,29.0,21.0,28.0,31.0,29.0,29.0,23.0,22.0,34.0,32.0,22.0,30.0,31.0,31.0,12.0,20.0,17.0,29.0,21.0,18.0,28.0,20.0,24.0,28.0,22.0,23.0,49.0,16.0,17.0,32.0,28.0,26.0,24.0,20.0,19.0,29.0,24.0,29.0,27.0,30.0,20.0,30.0,16.0,24.0,31.0,30.0,13.0,34.0,26.0,15.0,32.0,22.0,14.0,25.0,24.0,32.0,18.0,20.0,15.0,14.0,17.0,29.0,12.0,19.0,34.0,32.0,31.0,23.0,22.0,14.0,16.0,31.0
PKB103,22.0,17.0,19.0,20.0,20.0,21.0,19.0,19.0,22.0,16.0,18.0,16.0,22.0,17.0,15.0,15.0,16.0,20.0,15.0,17.0,19.0,16.0,18.0,20.0,16.0,18.0,16.0,32.0,17.0,22.0,20.0,20.0,16.0,17.0,16.0,20.0,17.0,17.0,21.0,16.0,17.0,19.0,13.0,17.0,21.0,18.0,14.0,21.0,17.0,16.0,21.0,16.0,14.0,16.0,18.0,20.0,19.0,13.0,14.0,13.0,17.0,22.0,13.0,17.0,14.0,23.0,21.0,18.0,18.0,13.0,14.0,20.0
PKB89,28.0,20.0,23.0,26.0,25.0,23.0,20.0,21.0,26.0,16.0,22.0,21.0,28.0,18.0,16.0,18.0,22.0,27.0,18.0,23.0,26.0,16.0,20.0,29.0,22.0,19.0,17.0,17.0,45.0,34.0,25.0,29.0,20.0,19.0,24.0,27.0,19.0,27.0,28.0,18.0,22.0,25.0,14.0,20.0,27.0,25.0,19.0,32.0,21.0,17.0,29.0,24.0,19.0,18.0,21.0,30.0,23.0,21.0,20.0,18.0,22.0,27.0,20.0,23.0,16.0,31.0,31.0,24.0,22.0,22.0,15.0,32.0
PKB137,54.0,39.0,42.0,51.0,53.0,52.0,34.0,31.0,58.0,30.0,36.0,40.0,67.0,33.0,23.0,31.0,29.0,52.0,32.0,30.0,57.0,24.0,36.0,59.0,35.0,34.0,32.0,22.0,34.0,177.0,47.0,58.0,29.0,32.0,32.0,51.0,32.0,55.0,60.0,32.0,30.0,53.0,19.0,35.0,60.0,62.0,33.0,124.0,40.0,23.0,61.0,32.0,24.0,34.0,36.0,67.0,32.0,33.0,35.0,27.0,25.0,62.0,25.0,31.0,32.0,108.0,101.0,37.0,36.0,29.0,22.0,101.0
PKB52,42.0,30.0,36.0,42.0,35.0,32.0,25.0,27.0,42.0,26.0,26.0,32.0,42.0,31.0,19.0,25.0,25.0,42.0,26.0,27.0,40.0,20.0,28.0,41.0,25.0,27.0,28.0,20.0,25.0,47.0,71.0,41.0,27.0,22.0,29.0,42.0,27.0,34.0,45.0,29.0,27.0,37.0,16.0,26.0,40.0,40.0,23.0,49.0,31.0,23.0,43.0,24.0,22.0,26.0,27.0,47.0,28.0,25.0,26.0,19.0,22.0,46.0,17.0,28.0,28.0,46.0,48.0,28.0,26.0,20.0,22.0,49.0
PKB248,41.0,29.0,39.0,41.0,38.0,36.0,28.0,29.0,41.0,27.0,33.0,33.0,49.0,25.0,20.0,25.0,26.0,43.0,26.0,27.0,48.0,18.0,29.0,44.0,28.0,28.0,26.0,20.0,29.0,58.0,41.0,85.0,24.0,28.0,27.0,45.0,26.0,39.0,50.0,29.0,25.0,38.0,17.0,29.0,47.0,39.0,29.0,58.0,30.0,23.0,45.0,28.0,22.0,27.0,29.0,48.0,31.0,27.0,31.0,24.0,22.0,51.0,22.0,30.0,22.0,56.0,54.0,31.0,33.0,24.0,22.0,57.0
PKB49,28.0,21.0,26.0,28.0,27.0,24.0,20.0,22.0,29.0,23.0,20.0,28.0,27.0,25.0,12.0,20.0,17.0,25.0,20.0,17.0,23.0,18.0,21.0,27.0,19.0,20.0,24.0,16.0,20.0,29.0,27.0,24.0,41.0,19.0,21.0,26.0,22.0,26.0,25.0,22.0,20.0,26.0,16.0,20.0,28.0,26.0,13.0,30.0,23.0,15.0,29.0,19.0,14.0,20.0,19.0,30.0,21.0,19.0,14.0,14.0,18.0,27.0,13.0,21.0,23.0,29.0,26.0,20.0,20.0,12.0,16.0,25.0
PKB32,25.0,20.0,24.0,24.0,29.0,31.0,33.0,24.0,28.0,20.0,33.0,25.0,32.0,19.0,15.0,25.0,20.0,26.0,26.0,19.0,33.0,18.0,29.0,22.0,32.0,33.0,20.0,17.0,19.0,32.0,22.0,28.0,19.0,47.0,19.0,25.0,27.0,30.0,23.0,20.0,18.0,29.0,18.0,33.0,31.0,30.0,15.0,32.0,22.0,15.0,27.0,33.0,16.0,31.0,30.0,28.0,19.0,19.0,18.0,19.0,17.0,27.0,16.0,20.0,17.0,33.0,29.0,29.0,33.0,17.0,18.0,27.0
PKB241,28.0,20.0,25.0,28.0,25.0,23.0,19.0,20.0,27.0,17.0,20.0,22.0,29.0,19.0,13.0,19.0,24.0,28.0,18.0,20.0,27.0,17.0,18.0,31.0,19.0,19.0,19.0,16.0,24.0,32.0,29.0,27.0,21.0,19.0,45.0,28.0,20.0,27.0,26.0,18.0,24.0,26.0,15.0,21.0,24.0,26.0,15.0,33.0,20.0,16.0,29.0,20.0,17.0,17.0,21.0,30.0,21.0,25.0,18.0,15.0,24.0,29.0,20.0,21.0,17.0,32.0,30.0,22.0,20.0,14.0,15.0,31.0
PKB128,42.0,31.0,39.0,43.0,39.0,38.0,28.0,30.0,46.0,28.0,30.0,38.0,48.0,28.0,20.0,26.0,27.0,43.0,27.0,26.0,44.0,21.0,29.0,44.0,29.0,27.0,29.0,20.0,27.0,51.0,42.0,45.0,26.0,25.0,28.0,75.0,26.0,38.0,44.0,28.0,25.0,40.0,19.0,31.0,41.0,41.0,25.0,52.0,32.0,21.0,48.0,26.0,21.0,27.0,30.0,49.0,30.0,28.0,29.0,23.0,21.0,46.0,19.0,27.0,27.0,51.0,50.0,31.0,30.0,22.0,20.0,51.0
PKB22,28.0,21.0,26.0,28.0,28.0,29.0,27.0,27.0,29.0,25.0,26.0,24.0,30.0,23.0,13.0,33.0,20.0,27.0,33.0,22.0,27.0,20.0,28.0,27.0,29.0,29.0,24.0,17.0,19.0,32.0,27.0,26.0,22.0,27.0,20.0,26.0,46.0,28.0,29.0,26.0,18.0,28.0,17.0,28.0,30.0,30.0,13.0,32.0,23.0,16.0,29.0,29.0,15.0,28.0,25.0,28.0,18.0,20.0,14.0,18.0,20.0,26.0,13.0,19.0,23.0,32.0,29.0,27.0,26.0,13.0,16.0,27.0
PKB50,41.0,23.0,34.0,38.0,38.0,41.0,30.0,29.0,41.0,27.0,32.0,35.0,50.0,26.0,18.0,26.0,23.0,45.0,25.0,23.0,45.0,18.0,31.0,44.0,30.0,29.0,29.0,17.0,27.0,55.0,34.0,39.0,26.0,30.0,27.0,38.0,28.0,78.0,40.0,27.0,29.0,40.0,17.0,32.0,46.0,47.0,22.0,57.0,29.0,19.0,44.0,33.0,18.0,29.0,32.0,47.0,27.0,25.0,23.0,22.0,22.0,39.0,21.0,26.0,26.0,51.0,52.0,31.0,32.0,25.0,16.0,53.0
PKB140,48.0,29.0,35.0,40.0,35.0,35.0,27.0,30.0,46.0,27.0,28.0,33.0,51.0,29.0,22.0,24.0,25.0,42.0,26.0,28.0,47.0,20.0,29.0,46.0,30.0,30.0,27.0,21.0,28.0,60.0,45.0,50.0,25.0,23.0,26.0,44.0,29.0,40.0,91.0,29.0,25.0,36.0,16.0,29.0,46.0,41.0,29.0,60.0,30.0,22.0,46.0,27.0,23.0,28.0,29.0,49.0,29.0,26.0,31.0,22.0,23.0,57.0,19.0,29.0,26.0,58.0,56.0,30.0,28.0,27.0,22.0,61.0
PKB43,29.0,19.0,29.0,29.0,29.0,23.0,22.0,25.0,33.0,41.0,22.0,28.0,30.0,30.0,16.0,21.0,19.0,30.0,23.0,22.0,27.0,19.0,24.0,30.0,24.0,26.0,30.0,16.0,18.0,32.0,29.0,29.0,22.0,20.0,18.0,28.0,26.0,27.0,29.0,47.0,19.0,28.0,16.0,22.0,30.0,28.0,18.0,34.0,21.0,18.0,30.0,22.0,15.0,25.0,22.0,31.0,20.0,20.0,17.0,19.0,16.0,31.0,12.0,21.0,30.0,33.0,29.0,21.0,22.0,20.0,17.0,31.0
PKB67,26.0,16.0,23.0,27.0,21.0,23.0,18.0,21.0,23.0,17.0,19.0,24.0,27.0,20.0,16.0,15.0,21.0,27.0,15.0,19.0,25.0,15.0,17.0,28.0,18.0,17.0,20.0,17.0,22.0,30.0,27.0,25.0,20.0,18.0,24.0,25.0,18.0,29.0,25.0,19.0,40.0,23.0,12.0,21.0,24.0,26.0,17.0,31.0,18.0,18.0,24.0,21.0,16.0,15.0,21.0,28.0,21.0,19.0,19.0,18.0,18.0,27.0,17.0,21.0,17.0,28.0,28.0,21.0,19.0,18.0,15.0,28.0
PKB79,40.0,34.0,36.0,45.0,51.0,50.0,30.0,28.0,45.0,30.0,31.0,37.0,43.0,30.0,18.0,31.0,25.0,40.0,31.0,21.0,40.0,20.0,32.0,41.0,30.0,31.0,30.0,19.0,25.0,53.0,37.0,38.0,26.0,29.0,26.0,40.0,28.0,40.0,36.0,28.0,23.0,76.0,19.0,30.0,38.0,44.0,18.0,54.0,36.0,18.0,45.0,29.0,18.0,31.0,31.0,50.0,24.0,29.0,23.0,20.0,21.0,42.0,17.0,23.0,29.0,52.0,45.0,33.0,31.0,18.0,18.0,45.0
PKB247,18.0,15.0,17.0,17.0,19.0,20.0,20.0,15.0,19.0,15.0,17.0,18.0,20.0,16.0,9.0,19.0,16.0,17.0,19.0,14.0,18.0,15.0,17.0,17.0,17.0,18.0,16.0,13.0,14.0,19.0,16.0,17.0,16.0,18.0,15.0,19.0,17.0,17.0,16.0,16.0,12.0,19.0,29.0,16.0,19.0,20.0,10.0,21.0,18.0,10.0,18.0,16.0,10.0,20.0,15.0,20.0,13.0,15.0,13.0,11.0,14.0,16.0,10.0,14.0,13.0,20.0,18.0,17.0,17.0,9.0,14.0,18.0
PKB16,29.0,23.0,28.0,30.0,29.0,35.0,30.0,29.0,30.0,23.0,38.0,26.0,32.0,22.0,15.0,24.0,20.0,31.0,26.0,20.0,31.0,18.0,37.0,28.0,30.0,32.0,24.0,17.0,20.0,35.0,26.0,29.0,20.0,33.0,21.0,31.0,28.0,32.0,29.0,22.0,21.0,30.0,16.0,51.0,32.0,32.0,14.0,34.0,24.0,18.0,32.0,31.0,16.0,32.0,43.0,34.0,20.0,20.0,18.0,15.0,20.0,29.0,16.0,21.0,22.0,34.0,34.0,37.0,38.0,18.0,16.0,32.0
PKB180,44.0,27.0,37.0,41.0,43.0,42.0,31.0,34.0,47.0,30.0,33.0,35.0,60.0,31.0,19.0,27.0,24.0,45.0,28.0,25.0,46.0,21.0,31.0,44.0,31.0,30.0,31.0,21.0,27.0,60.0,40.0,47.0,28.0,31.0,24.0,41.0,30.0,46.0,46.0,30.0,24.0,38.0,19.0,32.0,87.0,48.0,25.0,60.0,30.0,21.0,49.0,31.0,22.0,30.0,30.0,51.0,29.0,24.0,30.0,22.0,23.0,48.0,18.0,29.0,30.0,59.0,57.0,33.0,33.0,27.0,19.0,53.0
